App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
DW Tech Tools,BUSINESS,NaN,1,5.9M,100+,Free,0,Everyone,Business,"July 24, 2018",26.1,4.1 and up
DW Security,BUSINESS,5,6,15M,100+,Free,0,Everyone,Business,"July 25, 2018",69.1,4.1 and up
News: RFI Hausa,NEWS_AND_MAGAZINES,4.7,10,6.3M,"1,000+",Free,0,Everyone,News & Magazines,"April 28, 2018",1,4.1 and up
ZAK DW,BUSINESS,NaN,0,3.0M,10+,Free,0,Teen,Business,"November 13, 2015",1,4.1 and up
DW Contacts Wear,TOOLS,4.2,37,2.2M,"5,000+",Free,0,Everyone,Tools,"March 9, 2015",0.0.0.2,4.0 and up
Hausa Radio,NEWS_AND_MAGAZINES,4.4,3375,4.2M,"100,000+",Free,0,Everyone,News & Magazines,"July 31, 2018",4.1,4.1 and up
Digi Dex for DW Next Order @PS4,TOOLS,4.2,155,16M,"10,000+",Free,0,Everyone,Tools,"February 24, 2018",1.3,5.0 and up
DW Timer,TOOLS,5,9,1.5M,100+,Free,0,Everyone,Tools,"April 5, 2017",1,1.6 and up
DW Streaming,SOCIAL,NaN,0,Varies with device,"1,000+",Free,0,Everyone,Social,"May 27, 2017",Varies with device,Varies with device
RETRO Shocked DW-6000,PERSONALIZATION,5,13,500k,100+,Paid,$1.49,Everyone,Personalization,"April 4, 2017",1.2,2.3 and up
VMAX IP Plus Mobile Client,BUSINESS,2,9,3.4M,"1,000+",Free,0,Everyone,Business,"June 9, 2017",1.1.12,2.3 and up
Rose Gold DW Watch Theme,PERSONALIZATION,NaN,1,3.3M,100+,Free,0,Everyone,Personalization,"July 25, 2018",1.1.1,4.0 and up
DW Maps,TRAVEL_AND_LOCAL,3.7,35,13M,"10,000+",Free,0,Everyone,Travel & Local,"June 6, 2017",1.9,2.3.3 and up
DW Uninstall Applications,TOOLS,NaN,0,2.5M,10+,Free,0,Everyone,Tools,"February 5, 2017",1,2.3 and up
Bodyworks DW,HEALTH_AND_FITNESS,NaN,0,10M,10+,Free,0,Everyone,Health & Fitness,"July 9, 2018",4.2.2,4.1 and up
DW Cleaner,TOOLS,NaN,7,3.0M,500+,Free,0,Everyone,Tools,"August 5, 2018",1.7,4.0 and up
DW Missed call cleaner patch,TOOLS,3.9,65,54k,"5,000+",Free,0,Everyone,Tools,"November 27, 2014",1.4,2.0 and up
Swahili Radio,NEWS_AND_MAGAZINES,4.5,171,4.8M,"10,000+",Free,0,Everyone,News & Magazines,"May 30, 2018",3,4.0 and up
Black Classic DW Watch Theme,PERSONALIZATION,NaN,1,2.9M,100+,Free,0,Everyone,Personalization,"July 25, 2018",1.1.1,4.0 and up
White Classic Petite Watch Theme for DW,LIFESTYLE,NaN,2,3.0M,500+,Free,0,Everyone,Lifestyle,"July 24, 2018",1.1.1,4.0 and up
D.W Bien Être,HEALTH_AND_FITNESS,NaN,0,40M,10+,Free,0,Everyone,Health & Fitness,"April 6, 2016",1,2.3 and up
DX,SHOPPING,3.1,6697,11M,"500,000+",Free,0,Everyone,Shopping,"February 1, 2018",4.2.1,4.0 and up
Direct Express®,FINANCE,4.5,6156,6.6M,"500,000+",Free,0,Everyone,Finance,"May 9, 2017",1.0.10,4.0 and up
Retro City Rampage DX,GAME,4.7,416,16M,"10,000+",Paid,$2.99,Teen,NaN,"January 12, 2017",1.0.5,4.0 and up
KeePass DX,TOOLS,NaN,0,Varies with device,"5,000+",Free,0,Everyone,Tools,"August 2, 2018",Varies with device,Varies with device
PORTABLE SOCCER DX,SPORTS,4.4,552,1.6M,"5,000+",Paid,$1.00,Everyone,Sports,"June 19, 2018",3.4,2.2 and up
Across Age DX,FAMILY,3.8,5964,48M,"500,000+",Free,0,Teen,Role Playing,"January 9, 2015",1.1.0,2.2 and up
ZOOKEEPER DX TouchEdition,FAMILY,4.2,3195,4.6M,"100,000+",Paid,$0.99,Everyone,Puzzle,"November 26, 2015",1.2.7,2.1 and up
Ham DX Cluster & Spots Finder,COMMUNICATION,4.5,115,2.8M,"5,000+",Free,0,Everyone,Communication,"July 15, 2016",1.4.4,4.1 and up
KeePass DX Pro,TOOLS,NaN,0,Varies with device,100+,Paid,$5.99,Everyone,Tools,"August 2, 2018",Varies with device,Varies with device
DX Alerts,LIFESTYLE,4.5,22,23M,"1,000+",Free,0,Everyone,Lifestyle,"July 19, 2016",2,4.0.3 and up
Tricky Bike Stunt Rider DX,FAMILY,4.4,16,45M,500+,Free,0,Everyone,Simulation;Education,"July 29, 2018",1.1.1,4.0 and up
DX Gashacon Sword for Ex-Aid Henshin,FAMILY,NaN,17,42M,"1,000+",Free,0,Everyone,Simulation,"July 14, 2018",1,4.1 and up
DX Simulation Belt for Build henshin,FAMILY,4.5,182,39M,"10,000+",Free,0,Everyone,Simulation,"July 11, 2018",2,4.1 and up
Active Soccer 2 DX,SPORTS,3.6,28,48M,500+,Paid,$2.99,Everyone,Sports,"March 28, 2017",1.0.3,1.5 and up
DX Simulation for Kabuto Henshin Belt 2018,FAMILY,4.6,14,7.2M,"5,000+",Free,0,Everyone,Simulation,"August 6, 2018",1.5,4.0.3 and up
DX Simulation for Decade Henshin Belt 2018,FAMILY,NaN,23,10M,"5,000+",Free,0,Everyone,Simulation,NaN,1.6,4.0 and up
Elemental Galaxy Dx - Match3,FAMILY,4,127,14M,"10,000+",Free,0,Everyone,Puzzle,"March 11, 2014",1.0.9,2.2 and up
DX Simulation for Double Dx Henshin Belt 2018,FAMILY,4.6,33,11M,"5,000+",Free,0,Everyone,Simulation,"August 6, 2018",1.5,4.0.3 and up
Mircules DX Cluster Lite,COMMUNICATION,4.5,51,21M,"5,000+",Free,0,Everyone,Communication,"May 10, 2016",3,4.1 and up
DX Simulation Belt for Decade henshin,FAMILY,4.5,64,32M,"5,000+",Free,0,Everyone,Simulation,"July 27, 2018",3,4.1 and up
Chronolink DX Lite,FAMILY,NaN,2,47M,10+,Free,0,Everyone,Puzzle,"October 9, 2017",1,4.1 and up
Shoot! DX - lights for FREE,GAME,NaN,4,Varies with device,100+,Free,0,Everyone,Action,NaN,Varies with device,Varies with device
Bubble Shooter DX AdFree,FAMILY,NaN,1,2.1M,50+,Paid,$2.99,Everyone,Casual,"May 31, 2016",1.02,2.3 and up
American Sniper City Fight Shooting Assassin,GAME,4.1,395,54M,"50,000+",Free,0,Teen,Action,"November 24, 2017",1.4,2.3 and up
Guardians of Ancora,FAMILY,4.4,969,26M,"50,000+",Free,0,Everyone,Educational;Action & Adventure,"July 20, 2018",2.9.1,2.3.3 and up
Train Sim Pro,FAMILY,4,1763,Varies with device,"10,000+",Paid,$1.49,Everyone,Simulation;Pretend Play,"June 25, 2018",3.9.9,4.1 and up
Displaying You VR,PHOTOGRAPHY,NaN,1,67M,50+,Free,0,Everyone,Photography,"October 19, 2016",3.0.6.2,4.0 and up
Cute Dolphin Keyboard,PERSONALIZATION,4.5,237,6.4M,"10,000+",Free,0,Everyone,Personalization,"July 30, 2018",1.279.13.93,4.0.3 and up
Truck Transport Raw Material,FAMILY,4.2,632,50M,"100,000+",Free,0,Everyone,Simulation,"July 20, 2018",1.4,4.1 and up
Hidden Camera Detector,TOOLS,3.9,167,2.5M,"10,000+",Free,0,Everyone,Tools,"November 8, 2017",1,4.0.3 and up
DYPhyzio-Physiology Forum,FAMILY,NaN,4,1.3M,100+,Free,0,Everyone,Education,"August 22, 2017",1.1,4.1 and up
Dz Dinars Numbers to letters,PRODUCTIVITY,4.7,2807,9.8M,"100,000+",Free,0,Everyone,Productivity,"December 15, 2016",0.74 11.12.2016,4.0.3 and up
dz NEWS Algerie,NEWS_AND_MAGAZINES,4.2,2318,4.5M,"100,000+",Free,0,Everyone,News & Magazines,"December 13, 2014",2.3,2.3 and up
Siyaha Dz,TRAVEL_AND_LOCAL,4.5,289,9.8M,"10,000+",Free,0,Everyone,Travel & Local,NaN,2.6.3,4.2 and up
CCP DZ : Fill out a check | Number in letters DZD,FINANCE,4.7,642,3.2M,"10,000+",Free,0,Everyone,Finance,"April 27, 2018",NaN,4.0 and up
DZ Puzzle,FAMILY,NaN,14,47M,10+,Paid,$0.99,Everyone,Puzzle,"April 22, 2017",1.2,2.3 and up
DZ Mobile Market,SHOPPING,NaN,59,6.0M,"10,000+",Free,0,Everyone,Shopping,"February 1, 2018",1.0.3-DzMobile,4.0.3 and up
3G DZ Configuration,COMMUNICATION,4.3,488,2.5M,"50,000+",Free,0,Everyone,Communication,"November 19, 2015",6.2.3,3.0 and up
3G/4G Config Dz,TOOLS,4.2,2058,2.3M,"100,000+",Free,0,Everyone,Tools,"May 15, 2017",3.0.2,4.0 and up
Drugs Dz - Algeria,MEDICAL,4.4,187,Varies with device,"10,000+",Free,0,Everyone,Medical,"July 29, 2017",0.0.7,Varies with device
amm dz,FINANCE,NaN,0,14M,1+,Paid,$5.99,Everyone,Finance,"July 8, 2018",1,4.2 and up
IRIS : Customer Service - DZ Algeria,TRAVEL_AND_LOCAL,4.7,57,7.0M,"1,000+",Free,0,Everyone,Travel & Local,"March 10, 2018",2018-03,4.0 and up
Numbers Into Words,PRODUCTIVITY,4.4,457,562k,"50,000+",Free,0,Everyone,Productivity,"May 6, 2014",1.2,2.1 and up
Dz kayas,FINANCE,NaN,0,14M,1+,Paid,$28.99,Everyone,Finance,"July 12, 2018",1,4.2 and up
Météo Algérie DZ,WEATHER,4.1,1238,4.7M,"100,000+",Free,0,Everyone,Weather,"December 17, 2014",1.1.6,2.3 and up
DZ Popup Video Player,VIDEO_PLAYERS,4.5,83,4.5M,"5,000+",Free,0,Everyone,Video Players & Editors,"May 16, 2018",4.6,4.1 and up
DZ PROMOS - Promotions & Sale Alerts in Algeria,SHOPPING,4.1,331,10M,"50,000+",Free,0,Everyone,Shopping,"August 10, 2017",2.51,4.0.3 and up
JNews DZ - Algerian Newspapers,NEWS_AND_MAGAZINES,4,146,3.0M,"10,000+",Free,0,Everyone,News & Magazines,"July 16, 2016",2.4,2.3 and up
DZ-JOKER,GAME,NaN,6,18M,100+,Free,0,Everyone,Arcade,"May 4, 2017",1,2.3 and up
Super ball DZ,GAME,NaN,24,32M,"1,000+",Free,0,Teen,Action,"September 21, 2017",1.0.4,4.1 and up
Ouedkniss,SHOPPING,4.3,10355,847k,"1,000,000+",Free,0,Teen,Shopping,"June 19, 2018",1.5.1,4.0 and up
Files To SD Card Pro,TOOLS,4.2,994,2.8M,"100,000+",Free,0,NaN,Tools,"May 18, 2018",6.0.0,5.0 and up
News Dz,SOCIAL,NaN,3,9.9M,10+,Free,0,NaN,Social,"July 19, 2017",1,4.0 and up
My Ooredoo Algeria,TOOLS,4.2,3606,17M,"100,000+",Free,0,NaN,Tools,"June 24, 2018",1.22.1,4.4 and up
Currency Exchange DZ,FINANCE,NaN,4,2.5M,"1,000+",Free,0,NaN,Finance,"November 10, 2016",1,2.3 and up
PHARMAGUIDE (DZ),HEALTH_AND_FITNESS,4.1,131,3.4M,"5,000+",Free,0,NaN,Health & Fitness,"April 1, 2016",1.06,1.6 and up
DEM DZ,HEALTH_AND_FITNESS,NaN,2,957k,100+,Free,0,NaN,Health & Fitness,"November 13, 2017",1,2.3.3 and up
chat dz,COMMUNICATION,5,8,29M,100+,Free,0,NaN,Communication,"March 14, 2018",1,4.1 and up
Devise Dz,FINANCE,4,26,3.6M,"1,000+",Free,0,NaN,Finance,"May 29, 2017",1.0.0,4.0 and up
BAC DZ Questionnaire,FAMILY,4,38,Varies with device,"5,000+",Free,0,NaN,Education,"May 25, 2018",Varies with device,Varies with device
Ludo Dz,GAME,4.5,17,28M,500+,Free,0,NaN,Board,"August 27, 2017",1,4.1 and up
ONEC DZ,FAMILY,NaN,40,3.1M,"1,000+",Free,0,NaN,Education,"June 13, 2018",4,4.0.3 and up
Agent HQ for The Division,FAMILY,4.1,1060,2.5M,"100,000+",Free,0,NaN,Entertainment,"February 17, 2018",0.35,4.0.3 and up
DZ Urgences,FAMILY,NaN,16,1.6M,500+,Free,0,NaN,Education,"December 21, 2016",2,4.0 and up
infirmiers,MEDICAL,4.7,125,23M,"10,000+",Free,0,NaN,Medical,"June 7, 2018",12,4.0.3 and up
DZ sim,TOOLS,4.4,417,15M,"10,000+",Free,0,NaN,Tools,"April 26, 2018",3,4.2 and up
Tuberculose Dz,MEDICAL,4.9,26,6.1M,"1,000+",Free,0,NaN,Medical,"November 6, 2016",1.0.7,4.1 and up
DZ Fly Algérie Horaire Vols,TRAVEL_AND_LOCAL,3.6,114,10M,"10,000+",Free,0,NaN,Travel & Local,"October 31, 2016",2,4.0 and up
3G to 4G Converter - Simulator,TOOLS,4.2,268,2.4M,"10,000+",Free,0,NaN,Tools,"February 21, 2018",3.0.0,4.1 and up
dekoreko-dz,SHOPPING,NaN,16,4.6M,500+,Free,0,NaN,Shopping,"March 3, 2018",1.0.0,4.0.3 and up
ChangeDA - Cours du DZD sur le marché parallèle,FINANCE,4.4,188,3.3M,"10,000+",Free,0,Everyone,Finance,"July 28, 2018",2.5,4.2 and up
dz press,NEWS_AND_MAGAZINES,NaN,30,10M,"1,000+",Free,0,Everyone,News & Magazines,"July 30, 2015",1.8,4.0 and up
Tunisian Dinar: Exchange rate,FINANCE,4.5,625,3.8M,"10,000+",Free,0,Everyone,Finance,"March 30, 2018",2.1,4.0 and up
love sms good morning,COMMUNICATION,4.2,10,3.1M,"5,000+",Free,0,Everyone,Communication,"April 28, 2016",1,2.3 and up
Dz Camera,TOOLS,NaN,1,33M,10+,Free,0,Everyone,Tools,"November 19, 2017",1,4.3 and up
quran-DZ,SOCIAL,NaN,0,6.2M,10+,Free,0,Teen,Social,"June 13, 2018",1.1,4.2 and up
DZ Blagues,FAMILY,4.2,580,2.1M,"10,000+",Free,0,Everyone,Entertainment,"December 19, 2012",1.3,2.1 and up
DZ Register,PRODUCTIVITY,NaN,0,18M,1+,Free,0,Everyone,Productivity,"July 31, 2018",1.0.6,4.1 and up
EA SPORTS UFC®,SPORTS,4.5,2371338,37M,"50,000,000+",Free,0,Teen,Sports,"July 24, 2017",1.9.3097721,2.3.3 and up
NBA LIVE Mobile Basketball,SPORTS,4.4,1690802,58M,"50,000,000+",Free,0,Everyone,Sports,"May 21, 2018",2.3.1,4.0 and up
Need for Speed™ No Limits,GAME,4.4,3344300,22M,"50,000,000+",Free,0,Everyone 10+,Racing,"July 24, 2018",2.12.1,4.1 and up
Real Racing 3,FAMILY,4.5,354454,71M,"10,000,000+",Free,0,Everyone,Racing;Action & Adventure,"July 2, 2018",6.4.0,4.1 and up
Madden NFL Football,FAMILY,4.5,1455952,Varies with device,"10,000,000+",Free,0,Everyone,Sports;Action & Adventure,NaN,4.3.6,4.0 and up
EA SPORTS™ FIFA 18 Companion,SPORTS,3.9,282727,63M,"10,000,000+",Free,0,Everyone,Sports,"December 7, 2017",18.0.5.172734,4.4 and up
The Simpsons™: Tapped Out,FAMILY,4.3,636995,49M,"10,000,000+",Free,0,Teen,Casual,"July 31, 2018",4.34.0,4.0.3 and up
Plants vs. Zombies™ 2,FAMILY,4.4,567632,15M,"10,000,000+",Free,0,Everyone 10+,Casual,"June 12, 2018",6.8.1,4.1 and up
Command & Conquer: Rivals,FAMILY,NaN,0,Varies with device,0,NaN,0,Everyone 10+,Strategy,"June 28, 2018",Varies with device,Varies with device
Typical EA Game,FAMILY,4.6,33,3.3M,100+,Free,0,Everyone,Casual,"November 18, 2017",NaN,4.0 and up
EB Mobile,FAMILY,NaN,1172,5.6M,"10,000+",Free,0,Everyone,Education,"October 9, 2017",1.1.2,4.1 and up
i am EB,PHOTOGRAPHY,5,1,5.4M,10+,Free,0,Teen,Photography,"February 1, 2017",1,4.1 and up
EB-Link,BUSINESS,4.8,6,11M,100+,Free,0,Everyone,Business,"June 7, 2018",1.2.7,4.2 and up
Debra Care Conference,BUSINESS,NaN,0,30M,50+,Free,0,Everyone,Business,"June 15, 2018",5.29.02,5.0 and up
Exchange Bank - EB Mobile,FINANCE,4.6,8,31M,"1,000+",Free,0,Everyone,Finance,"May 2, 2018",18.1.79,5.0 and up
TANGEDCO Mobile App (Official),BUSINESS,3.3,2915,3.3M,"500,000+",Free,0,Everyone,Business,"November 3, 2017",1.0.2,4.4 and up
EB-TV,SPORTS,NaN,6,30M,"1,000+",Free,0,Everyone,Sports,"May 25, 2018",2.2.1,4.4 and up
Free E B Garamond Cool Font,PERSONALIZATION,4.2,410,6.1M,"100,000+",Free,0,Everyone,Personalization,"April 20, 2018",33,4.0.3 and up
EB Kit,BUSINESS,NaN,4,5.2M,100+,Free,0,Everyone,Business,"May 15, 2018",1.2,4.1 and up
Epson iProjection,PRODUCTIVITY,3.5,3930,18M,"1,000,000+",Free,0,Everyone,Productivity,"March 22, 2018",3.0.0,4.0 and up
TN e Sevai TN EB Bill Patta Citta EC Birth All Hub,SOCIAL,3.7,23,16M,"5,000+",Free,0,Everyone,Social,"April 26, 2018",1,4.1 and up
EB Scanner,PRODUCTIVITY,5,9,25M,50+,Free,0,Everyone,Productivity,"February 11, 2018",1.7.8,4.0.3 and up
TNEB Bill Online Payment (Tamil),SOCIAL,NaN,7,2.3M,"5,000+",Free,0,Teen,Social,"July 13, 2018",2,4.0.3 and up
EB Demo for Android,FAMILY,NaN,0,13M,10+,Free,0,Teen,Entertainment,"May 17, 2017",1,4.1 and up
eBay Kleinanzeigen for Germany,SHOPPING,4.6,318142,Varies with device,"10,000,000+",Free,0,Teen,Shopping,"August 3, 2018",Varies with device,Varies with device
Mental Hospital:EB 2 Lite,GAME,4.1,5341,8.8M,"100,000+",Free,0,Teen,Action,"April 30, 2014",1,4.0 and up
UP EB Bill Payment & Details,SOCIAL,5,3,2.4M,50+,Free,0,Teen,Social,"July 11, 2018",2,4.0 and up
EB-Banking (ersetzt),FINANCE,NaN,24,70M,"1,000+",Free,0,Everyone,Finance,"April 18, 2018",17.25.11,4.1 and up
Tamilnadu EB Online Payment,FINANCE,3.7,155,3.9M,"100,000+",Free,0,Everyone,Finance,"July 30, 2018",1.0.0,4.0.3 and up
Online Kerala EB Bill Pay,FINANCE,4,37,3.9M,"5,000+",Free,0,Everyone,Finance,"November 16, 2017",1.0.0,4.0.3 and up
EB Remote Deposit,BUSINESS,NaN,0,9.0M,10+,Free,0,Everyone,Business,"May 10, 2018",5.1,4.1 and up
EB-Chat – For my Events,EVENTS,NaN,2,21M,10+,Free,0,Teen,Events,"November 16, 2017",1.4,3.0 and up
EB Experience,LIFESTYLE,NaN,0,1.8M,1+,Free,0,Everyone,Lifestyle,"October 19, 2017",1,4.0.3 and up
TNEB Quick Pay Easy,FINANCE,4.5,28,1.4M,"10,000+",Free,0,Teen,Finance,"January 29, 2018",1,3.0 and up
Skin Disease,BEAUTY,4,1,NaN,100+,Free,0,Everyone,Beauty,"August 30, 2017",1,2.2 and up
Schlaumeier,BOOKS_AND_REFERENCE,NaN,0,688k,5+,Paid,$0.99,Everyone,Books & Reference,"June 17, 2015",0.1,2.3 and up
Bihar Land Records - RoR and EB Quick Pay,TOOLS,4,8,2.2M,"1,000+",Free,0,Everyone,Tools,"August 7, 2018",1.0.1,5.0 and up
TNEB Reading,TOOLS,4.1,28,2.5M,"10,000+",Free,0,Everyone,Tools,"October 19, 2017",1.3,4.1 and up
Eb & flow Yoga Studio,HEALTH_AND_FITNESS,NaN,0,7.3M,10+,Free,0,Everyone,Health & Fitness,"July 9, 2018",4.2.2,4.1 and up
Audiowalk EB,TRAVEL_AND_LOCAL,NaN,0,90M,10+,Free,0,Everyone,Travel & Local,"June 30, 2018",1.0.1,4.2 and up
TN EC Online New,SOCIAL,NaN,7,2.3M,"1,000+",Free,0,Teen,Social,"July 21, 2018",2.1,4.0 and up
"TN Patta, Chitta, EC",TOOLS,4.1,633,3.8M,"100,000+",Free,0,Everyone,Tools,"October 21, 2016",6.7,2.3 and up
TN Patta Chitta EC Info,TOOLS,4.2,1611,2.7M,"100,000+",Free,0,Everyone,Tools,"August 6, 2018",5,4.4 and up
EC music dictionary,TOOLS,4.4,20,2.2M,500+,Paid,$1.99,Everyone,Tools,"December 29, 2014",2.1,3.0 and up
EC Security,LIFESTYLE,4.5,NaN,28M,"1,000+",Free,0,Everyone,Lifestyle,"May 9, 2017",1.17.0.0,2.3.3 and up
TN Patta Citta & EC,BOOKS_AND_REFERENCE,3.8,48,1.5M,"10,000+",Free,0,Everyone,Books & Reference,NaN,1,3.0 and up
EC - Encumbrance Search - telangana state,BUSINESS,3.4,45,5.5M,"10,000+",Free,0,Everyone,Business,NaN,1,2.3 and up
Ec Solutions Mobile,BUSINESS,NaN,0,4.0M,10+,Free,0,Everyone,Business,NaN,1.02,4.1 and up
Encumbrance Certificate - (Obsolete),BUSINESS,3.9,184,48k,"50,000+",Free,0,Everyone,Business,NaN,1.1,2.3 and up
"My Handbook : EE, EC, EI, E&T, EEE, EECS",FAMILY,4.5,3776,7.7M,"100,000+",Free,0,Everyone,Education,NaN,8.07.021,4.0 and up
ec-Work,PRODUCTIVITY,NaN,3,26M,100+,Free,0,Everyone,Productivity,NaN,1.12,5.0 and up
ec.tv,LIFESTYLE,NaN,0,8.6M,50+,Free,0,Everyone,Lifestyle,NaN,1,4.1 and up
EC-HRV test,SPORTS,3,9,4.3M,"1,000+",Free,0,Everyone,Sports,NaN,3.9.13,4.4 and up
EC MANAGER,VIDEO_PLAYERS,NaN,2,17M,100+,Free,0,Everyone,Video Players & Editors,NaN,8.3.13.6,4.1 and up
Barry EC,TOOLS,4.1,14,3.8M,"1,000+",Free,0,Everyone,Tools,NaN,1.278.0037,2.3.3 and up
New Holland Agriculture T5 EC,PRODUCTIVITY,4.6,12,15M,"1,000+",Free,0,Everyone,Productivity,NaN,1.2,4.0.3 and up
tv-ec,FAMILY,NaN,1,3.4M,50+,Free,0,Everyone,Entertainment,NaN,8.1,4.0.3 and up
EC Taximeter,PRODUCTIVITY,3.9,162,5.0M,"10,000+",Free,0,Everyone,Productivity,NaN,3.0.21,4.0 and up
Walk Freely (Ec Shlire),TOOLS,4.7,62,2.3M,"1,000+",Free,0,Everyone,Tools,NaN,1.1.3,4.1 and up
EC Apps List,TOOLS,4.5,2,1.6M,100+,Free,0,Everyone,Tools,NaN,1.3,4.0 and up
AP Stamps and Registration,BOOKS_AND_REFERENCE,3.4,82,2.7M,"10,000+",Free,0,Everyone,Books & Reference,NaN,2,3.0 and up
EC Calgary,FAMILY,5,6,8.1M,100+,Free,0,Teen,Education,NaN,3.8.0,4.1 and up
Victoria EC,TOOLS,5,5,3.8M,500+,NaN,0,Everyone,Tools,NaN,1.283.0037,2.3.3 and up
EC SPORTS,SPORTS,5,1,6.3M,10+,NaN,0,Everyone,Sports,NaN,4.1.1,2.3.3 and up
ECナビ×シュフー,LIFESTYLE,4,576,7.4M,"50,000+",NaN,0,Everyone,Lifestyle,"June 7, 2018",1.0.2,4.0 and up
EC Designer 2.0,TOOLS,NaN,0,12M,50+,NaN,0,Everyone,Tools,"July 9, 2018",0.0.44,4.0 and up
Arrayanes EC,LIFESTYLE,NaN,2,NaN,100+,NaN,0,Everyone,Lifestyle,"June 27, 2018",3.5,4.4 and up
EC Reps,BUSINESS,4,1,NaN,100+,NaN,0,Everyone,Business,"March 15, 2017",1.1,4.0 and up
EC QR,PRODUCTIVITY,NaN,0,NaN,10+,NaN,0,Everyone,Productivity,"July 24, 2018",1.0.2,4.1 and up
EC Tax,FINANCE,4.9,8,NaN,500+,NaN,0,Everyone,Finance,"February 9, 2018",1.2,4.0.3 and up
EC Fairgrounds,FAMILY,5,3,NaN,500+,NaN,0,Everyone,Entertainment,"July 13, 2018",erie1.3.23.42-release,4.4 and up
CompactiMa EC pH Calibration,BOOKS_AND_REFERENCE,NaN,0,NaN,100+,NaN,0,Everyone,Books & Reference,"December 22, 2016",1.1.2,4.1 and up
Kiamichi EC,TOOLS,4.6,7,NaN,"1,000+",NaN,0,Everyone,Tools,"February 23, 2018",1.283.0037,2.3.3 and up
EC Games Datecs,SPORTS,NaN,76,NaN,"10,000+",NaN,0,Everyone,Sports,"February 12, 2016",4.4,2.1 and up
TN Patta /Chitta /EC New,SOCIAL,4.8,5,NaN,100+,NaN,0,Teen,Social,"July 20, 2018",1,4.0 and up
HOLSTON EC,TOOLS,4.1,7,NaN,"1,000+",NaN,0,Everyone,Tools,"January 23, 2018",1.278.0037,2.3.3 and up
FILL EC,BUSINESS,4.1,13,NaN,100+,NaN,0,Everyone,Business,"April 23, 2018",1,4.0.3 and up
Marítimo EC,TOOLS,NaN,1,NaN,10+,NaN,0,Everyone,Tools,"February 14, 2018",1.9.8,4.0 and up
EC-Contractors,HOUSE_AND_HOME,NaN,0,NaN,1+,NaN,0,Everyone,House & Home,"April 25, 2018",14.01,4.0.3 and up
GATE Syllabus for EC 2018 & Notifications,FAMILY,4.7,23,NaN,"1,000+",NaN,0,Everyone,Education,"August 28, 2017",1.3,4.4 and up
EC Sampler,PRODUCTIVITY,NaN,0,NaN,1+,NaN,0,Everyone,Productivity,"July 31, 2018",1.4,4.0.3 and up
EC Mover,GAME,5,5,NaN,10+,Free,0,Everyone,Racing,"August 1, 2018",1.11,4.0.3 and up
SCS eC,PRODUCTIVITY,4.4,7,NaN,100+,Free,0,Everyone,Productivity,"October 21, 2016",1.0.1,4.1 and up
My EF,FAMILY,3.3,4114,NaN,"100,000+",Free,0,Everyone,Education,"July 10, 2018",3.29,4.2 and up
EF Mentor: Words,FAMILY,4,403,NaN,"50,000+",Free,0,Teen,Education,"July 30, 2018",1.7.0.00115,4.1 and up
EF Smart English for Phone,FAMILY,3.5,208,13M,"10,000+",Free,0,Everyone,Education,"June 29, 2018",1.2.1,4.4 and up
My EF Center,FAMILY,2.8,89,35M,"10,000+",Free,0,Everyone,Education,"July 23, 2018",1.10.0,4.4 and up
EF Mentor: Sounds,FAMILY,NaN,19,6.9M,"5,000+",Free,0,Everyone,Education,"August 16, 2017",1.0.1.00613,4.1 and up
EF English Live Business,FAMILY,3.6,496,14M,"100,000+",Free,0,Everyone,Education,"May 4, 2018",2.0.1,4.4 and up
EF Classroom,FAMILY,3.2,190,23M,"50,000+",Free,0,Everyone,Education,"July 23, 2018",3.0.0.2927,5.0 and up
EF English Live for phone,FAMILY,3.6,2210,15M,"100,000+",Free,0,Everyone,Education,"July 24, 2018",3.1.0,5.0 and up
EF Smart English,FAMILY,3.7,150,11M,"5,000+",Free,0,Everyone,Education,"June 11, 2018",1.6.0,4.4 and up
EF English Live Business Tablet,FAMILY,3.3,279,14M,"10,000+",Free,0,Everyone,Education,"December 25, 2017",1.6.6,4.4 and up
EF Summits,TRAVEL_AND_LOCAL,NaN,0,19M,100+,Free,0,Everyone,Travel & Local,"May 20, 2018",1.1.3,4.4 and up
EFAmbassador,FAMILY,NaN,5,10M,100+,Free,0,Everyone,Education,NaN,1.2,5.0 and up
Agenda EF,FAMILY,3.4,79,33M,"5,000+",Free,0,Everyone,Education,"May 27, 2015",1.03,3.0 and up
EF App,BUSINESS,5,8,20M,100+,Free,0,Everyone,Business,"January 23, 2017",1.0.5,4.4 and up
EF Lens Simulator,PHOTOGRAPHY,NaN,2,33M,100+,Paid,$9.99,Everyone,Photography,"February 27, 2017",2.8.3.1,2.2 and up
EF Coach,HEALTH_AND_FITNESS,4.8,17,14M,500+,Free,0,Everyone,Health & Fitness,"March 12, 2018",1.1.1,4.4 and up
e-Docente EI/anos iniciais EF,FAMILY,NaN,2,2.3M,"1,000+",Free,0,Everyone,Education,"May 22, 2018",1.0.0,4.1 and up
EF Universe: Endless Battle,FAMILY,4.2,5,54M,50+,Free,0,Teen,Role Playing,"July 31, 2018",4541.25.51,4.1 and up
